'17300','"2024-12-01T11:55:37.623Z"','"Pachinko"','7','41201','8998','4000','800','741.13','600','600'
'17300(lastValue)','"2024-12-01T11:56:17.163Z"','"5"','5','25785','7402','1500','1380','757.4','600','311.96'
'null(lastValue)','"2024-12-01T11:57:01.583Z"','"1"','1','6152','4142','178.87','155.87','145.33','100.99','100'
'17489','"2024-12-01T11:57:44.309Z"','"5"','5','23656','6446','1500','1380','600','386.28','332.3'
'17489','"2024-12-01T11:58:25.981Z"','"1"','1','6743','3966','950','428.57','100','81.32','79.12'
'17489','"2024-12-01T11:59:49.240Z"','"1"','1','5168','4035','125.21','108.43','88.24','83.19','78.78'
'17489','"2024-12-01T12:00:31.851Z"','"1"','1','4818','3513','262.47','130','121.84','103.95','83.19'
'17489','"2024-12-01T12:01:11.665Z"','"1"','1','5248','3383','382.87','208.87','83.19','78.78','71.55'
'14823','"2024-12-01T12:01:56.072Z"','"1"','1','4624','3253','382.87','130.78','83.19','78.78','72.24'
'14823','"2024-12-01T12:02:38.663Z"','"2"','2','10154','3768','1059.43','600','269.64','181.41','163.48'
'14573','"2024-12-01T12:03:20.753Z"','"2"','2','9536','4104','1059.43','245.22','145.13','118.17','118.17'
'13890','"2024-12-01T12:04:04.661Z"','"1"','1','4193','2791','277.85','181.2','89.43','83.19','78.78'
'13887','"2024-12-01T12:04:49.663Z"','"2"','2','8748','3545','1059.43','349.5','257.52','145.13','119.39'
'13934','"2024-12-01T12:05:31.351Z"','"1"','1','3850','2706','100','94.53','83.19','78.78','74.88'
'13632','"2024-12-01T12:07:02.312Z"','"Pachinko"','15','47508','5631','1566.34','1200','1009.87','718.82','577.92'
'14370','"2024-12-01T12:07:43.391Z"','"1"','1','3887','2831','96.32','78.78','71.55','71.55','60.2'
'14370','"2024-12-01T12:08:28.123Z"','"1"','3','8381','3035','203.31','192.64','189.06','157.56','143.09'
'null(lastValue)','"2024-12-01T12:09:06.611Z"','"5"','5','16515','4446','1200','600','425.42','421.58','216.72'
'null(lastValue)','"2024-12-01T12:10:41.983Z"','"CashHunt"','100','63954','6373','3825','1598.18','1076.86','983.13','820.52'
'null(lastValue)','"2024-12-01T12:11:23.453Z"','"2"','2','11374','4407','1050','604.7','454.5','450','182.21'
'null(lastValue)','"2024-12-01T12:12:03.006Z"','"10"','10','38930','5814','1100','1100','565.67','424.63','415.94'
'15175','"2024-12-01T12:12:44.597Z"','"2"','2','11825','4762','865.93','600','450','376.78','349.5'
'15592','"2024-12-01T12:13:25.690Z"','"2"','2','11151','4827','865.93','525','392.59','240','145.13'
'16116','"2024-12-01T12:14:09.921Z"','"5"','5','19559','5669','600','600','526.97','313.85','283.49'
'15838','"2024-12-01T12:15:42.747Z"','"CashHunt"','100','77333','7660','2600','2545.31','1307.97','1198.64','1040'
'16519','"2024-12-01T12:16:23.712Z"','"1"','1','8379','3751','1070.75','1000','526.97','380.09','257.12'
'16519','"2024-12-01T12:17:07.482Z"','"2"','2','12175','5112','865.93','658.71','600','375','349.5'
'16461','"2024-12-01T12:17:48.333Z"','"1"','1','4478','3579','145.33','135.54','108.99','78.78','78.78'
'16461(lastValue)','"2024-12-01T12:18:25.864Z"','"1"','2','5939','3349','151.26','141.8','118.17','115.58','97.26'
'null(lastValue)','"2024-12-01T12:19:07.269Z"','"2"','2','12563','4622','1349.69','1050','349.5','277.92','196.18'
'15283','"2024-12-01T12:19:49.336Z"','"10"','10','34578','5239','779.94','675.9','649.95','553.37','550'
'15283','"2024-12-01T12:22:31.449Z"','"CrazyBonus"','35','107327','7552','3420.84','2600','2545.31','1129.86','1020.95'
'15283(lastValue)','"2024-12-01T12:23:24.800Z"','"2"','8','37987','4925','3600','3240','2452.66','1062','1048.5'
'null(lastValue)','"2024-12-01T12:24:05.243Z"','"1"','1','5882','4055','1000','163.48','112.42','89.43','80.63'
'null(lastValue)','"2024-12-01T12:24:47.569Z"','"2"','2','12635','5258','1200','817.55','813.22','349.5','225'
'16438','"2024-12-01T12:25:29.424Z"','"2"','10','45727','5280','4400','3352.45','1773.78','1281.5','825'
'16438','"2024-12-01T12:26:11.950Z"','"2"','2','10941','5685','914.31','349.5','225','167.69','167.69'
'16951','"2024-12-01T12:27:17.790Z"','"CoinFlip"','20','74960','8281','2055.83','1878.11','1258.17','1001.31','945'
'16951(lastValue)','"2024-12-01T12:27:56.710Z"','"10"','10','47678','6954','4400','2750','1049','745.46','614.86'
'null(lastValue)','"2024-12-01T12:28:35.335Z"','"1"','1','9962','4764','2000','1090.96','512','378.13','116.26'
'17967','"2024-12-01T12:29:17.254Z"','"1"','3','15401','4516','4000','271.07','260','189.06','157.56'
'17967','"2024-12-01T12:29:55.231Z"','"10"','10','41187','6624','2079.7','1049','745.46','579.67','519.93'
'18236','"2024-12-01T12:30:37.460Z"','"1"','1','7430','4443','2000','141.8','135','78.78','62.6'
'18236','"2024-12-01T12:32:03.742Z"','"5"','5','23320','7461','354.52','212.71','201.23','196.55','188.31'
'18236','"2024-12-01T12:32:46.600Z"','"10"','10','40548','7192','3300','676.28','517.85','418','393.51'
'18236(lastValue)','"2024-12-01T12:33:53.748Z"','"CoinFlip"','3','16460','9516','391.59','209.89','200','161.25','152.58'
'null(lastValue)','"2024-12-01T12:34:30.694Z"','"2"','2','19096','6440','3000','2100','1398.06','349.5','261.57'
'17967','"2024-12-01T12:36:05.183Z"','"CashHunt"','100','75281','9315','1275','1205.28','1200','1076.86','853.89'
'18657','"2024-12-01T12:36:45.031Z"','"1"','1','6443','4512','950','150','118.17','98.38','78.25'
'18657','"2024-12-01T12:37:23.787Z"','"2"','2','14471','6591','1398.06','420','349.5','203.31','150.92'
'18511','"2024-12-01T12:38:08.467Z"','"2"','2','14440','6255','1398.06','1023.38','420','349.5','177.26'
'18033','"2024-12-01T12:38:51.818Z"','"10"','10','46792','7332','3300','1159.33','877.8','662.2','517.85'
'18185','"2024-12-01T12:39:40.021Z"','"2"','2','14110','6013','1512.19','1398.06','240','202.49','145.13'
'18432','"2024-12-01T12:40:24.996Z"','"1"','1','8418','4013','3000','200','129.68','118.17','101.65'
'18432','"2024-12-01T12:43:37.249Z"','"CoinFlip"','15','74627','8494','15125.11','1200','1162.64','836.93','650.58'
'18656','"2024-12-01T12:44:44.040Z"','"CoinFlip"','12','49055','8134','3686.75','906.13','871.41','650','528.6'
'19462','"2024-12-01T12:46:19.411Z"','"CashHunt"','100','96416','9895','9642.26','5701.39','2835.96','2667.72','1205.28'
'19982','"2024-12-01T12:46:57.011Z"','"1"','1','5211','4616','223.58','189.06','118.17','94.53','94.5'
'19982(lastValue)','"2024-12-01T12:47:33.441Z"','"5"','5','32611','7371','5104.73','3000','2012.26','670.75','653.92'
'null(lastValue)','"2024-12-01T12:48:16.957Z"','"2"','6','40242','7153','3262.15','2646.89','1144.36','815.5','782.54'
'19929','"2024-12-01T12:49:23.907Z"','"CoinFlip"','7','38304','9849','2268.77','1000','894.34','836.93','756.26'
'19929(lastValue)','"2024-12-01T12:50:28.370Z"','"CoinFlip"','2','15615','10103','1134.38','850.79','390','335.38','300'
'20446','"2024-12-01T12:51:16.461Z"','"1"','1','9601','4879','2000','1323.45','447.17','121.98','120.74'
'20446','"2024-12-01T12:52:01.181Z"','"2"','2','21092','6766','4500','1398.06','1134.38','670.75','449.57'
'20446','"2024-12-01T12:53:29.589Z"','"2"','2','15598','6273','1398.06','457.44','335.38','326.96','283.6'
'20446','"2024-12-01T12:54:13.263Z"','"10"','10','45425','6992','1969','1198.85','1150.78','1039.85','724.58'
'20446(lastValue)','"2024-12-01T12:55:00.589Z"','"2"','10','55387','5924','5126.24','3896.27','2236.37','1131.34','1039.85'
'19761','"2024-12-01T12:55:40.650Z"','"5"','5','29343','7528','6000','1050','395.23','326.96','326.96'
'19761','"2024-12-01T12:56:22.865Z"','"5"','5','24595','7303','1134.38','1050','813.22','567.19','503.06'
'19893','"2024-12-01T12:57:04.098Z"','"1"','1','10956','4439','5000','677.69','140.53','116.26','94.53'
'19893','"2024-12-01T12:57:46.781Z"','"1"','1','8132','4272','2000','316.47','158.09','133.93','111.79'
'19131','"2024-12-01T12:58:27.213Z"','"1"','1','6028','4048','406.61','316.47','217.97','158.09','114.03'
'18286','"2024-12-01T12:59:07.382Z"','"2"','2','18793','5544','6000','649.5','490.44','237.14','193.5'
'17832','"2024-12-01T12:59:49.379Z"','"1"','1','4911','3661','158.09','108.99','94.53','84.96','84.37'
'17832','"2024-12-01T13:00:36.005Z"','"5"','5','25654','5173','9000','579.67','330.88','326.96','283.6'
'17673','"2024-12-01T13:01:20.905Z"','"1"','1','5515','3400','542.15','316.47','193.22','192.64','136.23'
'17673','"2024-12-01T13:01:58.162Z"','"1"','1','4875','3250','217.97','202.01','200','101.65','94.53'
'17373','"2024-12-01T13:02:39.298Z"','"1"','1','6873','3137','2000','210.79','203.31','196.95','108.99'
'17373','"2024-12-01T13:04:05.374Z"','"1"','1','3838','2774','245.92','135.54','126.23','98.38','83.69'
'17373','"2024-12-01T13:04:50.409Z"','"2"','2','10489','3702','1500','609.92','368.88','349.5','203.31'
'17373','"2024-12-01T13:05:29.506Z"','"2"','2','10292','3811','613.05','609.92','494.49','395.23','254.13'
'15356','"2024-12-01T13:06:10.137Z"','"1"','1','4321','2703','263.49','204.68','178.87','135.54','126.59'
'15202','"2024-12-01T13:06:52.057Z"','"1"','1','4388','2806','316.18','272.47','126.05','120.74','80'
'15202','"2024-12-01T13:07:35.399Z"','"5"','15','37478','3775','2529.46','1599.63','1089.87','945.38','756.26'
'15713','"2024-12-01T13:09:16.437Z"','"CrazyBonus"','100','235244','6706','19515.46','19095.46','19095.46','5050','4773.86'
'16989','"2024-12-01T13:10:00.903Z"','"2"','2','9861','4316','609.92','474.27','349.5','141.8','131.74'
'16664','"2024-12-01T13:10:39.324Z"','"2"','2','11114','4942','694.79','609.92','240','197.61','163.48'
'16664','"2024-12-01T13:11:20.734Z"','"2"','2','10071','4983','263.49','163.48','141.8','129.99','120'
'16609','"2024-12-01T13:12:01.901Z"','"2"','4','17326','4950','544.93','272.47','225','200','197.8'
'16685','"2024-12-01T13:12:41.357Z"','"2"','2','11004','4976','1016.53','204.35','163.48','131.74','120.74'
'16685','"2024-12-01T13:13:29.689Z"','"1"','1','5913','3615','300','135.54','128.35','122.97','111.79'
'16685','"2024-12-01T13:14:56.725Z"','"2"','2','9278','4551','349.5','236.34','204.35','203.31','163.48'
'16685','"2024-12-01T13:15:40.179Z"','"1"','1','4252','3139','223.58','108.43','78.78','64','63.81'
'16685(lastValue)','"2024-12-01T13:16:40.709Z"','"CoinFlip"','15','54017','6817','1645.66','1512.51','1084.3','915.49','702.63'
'null(lastValue)','"2024-12-01T13:17:23.376Z"','"1"','1','3727','3064','134.15','94.53','78.78','67.77','48.16'
'16128','"2024-12-01T13:18:26.951Z"','"CoinFlip"','3','13804','6734','756.26','411.41','378.13','271.07','239.77'
'16342','"2024-12-01T13:19:10.133Z"','"1"','1','4541','3292','542.15','94.53','78.78','64.5','60.2'
'16342','"2024-12-01T13:19:51.248Z"','"1"','1','3965','3200','78.78','64.5','60.2','54.49','54.49'
'16342','"2024-12-01T13:20:35.258Z"','"1"','1','4817','3258','145.33','111.79','87.2','79.12','78.78'
'16367','"2024-12-01T13:21:19.735Z"','"2"','2','8542','4316','349.5','240','118.17','102.29','94.85'
'16367','"2024-12-01T13:22:04.916Z"','"10"','10','37971','4580','5199.26','1244.93','1131.39','863.09','491.88'
'15583','"2024-12-01T13:22:41.972Z"','"1"','1','3826','2899','223.58','120.4','98.73','80','78.78'
'15547','"2024-12-01T13:23:28.401Z"','"1"','1','4607','3007','189.06','185.41','140.86','122.97','120.4'
'15547','"2024-12-01T13:25:07.534Z"','"CashHunt"','500','143490','6669','51529.59','3286.9','3106.12','1985.17','1889.29'
'15547','"2024-12-01T13:25:48.807Z"','"1"','1','3891','3045','185.57','180.6','145.33','78.78','70.95'
'15547','"2024-12-01T13:26:26.742Z"','"5"','5','15720','4661','572.18','490.44','280.58','245.22','201.23'
'15547(lastValue)','"2024-12-01T13:27:12.710Z"','"1"','1','5066','2997','1260.5','192.64','163.48','157.56','122.97'
'15936','"2024-12-01T13:27:53.705Z"','"1"','1','4486','3144','192.64','157.56','118.17','111.79','110.77'
'15936(lastValue)','"2024-12-01T13:28:39.759Z"','"2"','2','11266','4138','1549.5','817.4','278.89','225','191.42'
'null(lastValue)','"2024-12-01T13:29:24.514Z"','"1"','1','3950','2789','192.64','157.56','118.17','111.79','100'
'null(lastValue)','"2024-12-01T13:30:04.353Z"','"2"','2','8615','3759','531.31','408.7','239.27','118.68','118.17'
'15073','"2024-12-01T13:30:45.291Z"','"5"','5','15118','3931','1451.28','653.92','319.03','283.6','280.58'
'null(lastValue)','"2024-12-01T13:31:28.574Z"','"10"','10','33543','4731','2305.92','1207.64','779.89','614.86','402.77'
'15410','"2024-12-01T13:32:09.422Z"','"2"','2','9008','4167','349.5','277.92','189.08','180.6','177.71'
