NumberofPlayers,DateTime,WheelResult,MultiplierResult,Totalwinnings,Totalwinners,Firstwinner,Secondwinner,Thirdwinner,Fourthwinner,Fifthwinner
16685.0,2024-12-01T13:15:40.179Z,"""1""",1.0,4252.0,3139.0,223.58,108.43,78.78,64,63.81
16406.0,2024-12-01T13:16:40.709Z,"""CoinFlip""",15.0,54017.0,6817.0,1645.66,1512.51,1084.3,915.49,702.63
16267.0,2024-12-01T13:17:23.376Z,"""1""",1.0,3727.0,3064.0,134.15,94.53,78.78,67.77,48.16
16128.0,2024-12-01T13:18:26.951Z,"""CoinFlip""",3.0,13804.0,6734.0,756.26,411.41,378.13,271.07,239.77
16342.0,2024-12-01T13:19:10.133Z,"""1""",1.0,4541.0,3292.0,542.15,94.53,78.78,64.5,60.2
16342.0,2024-12-01T13:19:51.248Z,"""1""",1.0,3965.0,3200.0,78.78,64.5,60.2,54.49,54.49
16342.0,2024-12-01T13:20:35.258Z,"""1""",1.0,4817.0,3258.0,145.33,111.79,87.2,79.12,78.78
16367.0,2024-12-01T13:21:19.735Z,"""2""",2.0,8542.0,4316.0,349.5,240.0,118.17,102.29,94.85
16367.0,2024-12-01T13:22:04.916Z,"""10""",10.0,37971.0,4580.0,5199.26,1244.93,1131.39,863.09,491.88
15583.0,2024-12-01T13:22:41.972Z,"""1""",1.0,3826.0,2899.0,223.58,120.4,98.73,80,78.78
15547.0,2024-12-01T13:23:28.401Z,"""1""",1.0,4607.0,3007.0,189.06,185.41,140.86,122.97,120.4
15547.0,2024-12-01T13:25:07.534Z,"""CashHunt""",20.0,143490.0,6669.0,51529.59,3286.9,3106.12,1985.17,1889.29
15547.0,2024-12-01T13:25:48.807Z,"""1""",1.0,3891.0,3045.0,185.57,180.6,145.33,78.78,70.95
15547.0,2024-12-01T13:26:26.742Z,"""5""",5.0,15720.0,4661.0,572.18,490.44,280.58,245.22,201.23
15742.0,2024-12-01T13:27:12.710Z,"""1""",1.0,5066.0,2997.0,1260.5,192.64,163.48,157.56,122.97
15936.0,2024-12-01T13:27:53.705Z,"""1""",1.0,4486.0,3144.0,192.64,157.56,118.17,111.79,110.77
15504.0,2024-12-01T13:28:39.759Z,"""2""",2.0,11266.0,4138.0,1549.5,817.4,278.89,225,191.42
15288.0,2024-12-01T13:29:24.514Z,"""1""",1.0,3950.0,2789.0,192.64,157.56,118.17,111.79,100
15180.0,2024-12-01T13:30:04.353Z,"""2""",2.0,8615.0,3759.0,531.31,408.7,239.27,118.68,118.17
15073.0,2024-12-01T13:30:45.291Z,"""5""",5.0,15118.0,3931.0,1451.28,653.92,319.03,283.6,280.58
15242.0,2024-12-01T13:31:28.574Z,"""10""",10.0,33543.0,4731.0,2305.92,1207.64,779.89,614.86,402.77
15410.0,2024-12-01T13:32:09.422Z,"""2""",2.0,9008.0,4167.0,349.5,277.92,189.08,180.6,177.71
15563.0,2024-12-01T13:32:52.068Z,"""1""",15.0,36982.0,3043.0,2889.58,894.34,800,696.24,682.29
15640.0,2024-12-01T13:33:33.556Z,"""2""",2.0,11321.0,4591.0,649.95,609.92,451.5,349.5,222.74
15716.0,2024-12-01T13:34:12.752Z,"""1""",1.0,4523.0,3330.0,361.2,275.73,217.97,78.78,62.77
15716.0,2024-12-01T13:35:51.073Z,"""CashHunt""",19.0,77383.0,6686.0,8647.61,3025.02,2196.95,1575,1313
15716.0,2024-12-01T13:37:25.444Z,"""CashHunt""",19.0,71289.0,7084.0,3295.42,2892.68,2134.18,1228.07,964.23
17513.0,2024-12-01T13:38:06.162Z,"""1""",1.0,5145.0,4009.0,361.2,101.65,82.83,78.78,78.25
17852.0,2024-12-01T13:39:29.424Z,"""2""",4.0,26736.0,6203.0,1750.0,1694.22,752.5,749.28,582.5
18191.0,2024-12-01T13:40:09.271Z,"""2""",2.0,12257.0,5894.0,451.5,349.5,345,283.6,245.22
17961.0,2024-12-01T13:40:50.546Z,"""1""",1.0,5330.0,3953.0,361.2,204.68,189.75,120.94,81.74
17961.0,2024-12-01T13:41:33.362Z,"""2""",2.0,10944.0,5055.0,451.5,302.52,283.6,228.87,204.35
17277.0,2024-12-01T13:43:19.217Z,"""CashHunt""",58.0,222945.0,7609.0,35567.65,8107.78,4711.22,4100.62,3200.89
19488.0,2024-12-01T13:45:12.889Z,"""CrazyBonus""",40.0,182728.0,9252.0,6669.3,2667.72,2662.78,2239.62,1710.42
20594.0,2024-12-01T13:46:39.579Z,"""1""",1.0,6896.0,4806.0,361.2,223.58,120.4,94.53,88.61
21146.0,2024-12-01T13:48:17.806Z,"""Pachinko""",10.0,59175.0,11128.0,2876.95,749.28,599.43,575.39,574.33
21699.0,2024-12-01T13:49:01.104Z,"""2""",2.0,14631.0,7211.0,451.5,361.2,349.5,329.36,195
22042.0,2024-12-01T13:49:42.053Z,"""1""",1.0,6803.0,5172.0,361.2,204.8,192.64,120.4,80
21415.0,2024-12-01T13:50:22.939Z,"""1""",1.0,6188.0,4811.0,361.2,192.64,120.4,108.99,78.78
21102.0,2024-12-01T13:51:05.678Z,"""2""",2.0,13199.0,6658.0,980.88,451.5,361.2,208.25,150.92
20788.0,2024-12-01T13:51:49.689Z,"""10""",10.0,58674.0,7320.0,11507.81,2997.13,1449.17,1247.82,1135.22
20552.0,2024-12-01T13:52:29.442Z,"""1""",1.0,6567.0,4694.0,446.02,361.2,192.64,145.13,120.4
20552.0,2024-12-01T13:53:09.670Z,"""2""",2.0,12461.0,6100.0,669.04,451.5,361.2,349.5,208.25
20525.0,2024-12-01T13:53:53.923Z,"""2""",2.0,13022.0,6027.0,669.04,451.5,361.2,349.5,283.6
19797.0,2024-12-01T13:54:33.498Z,"""1""",1.0,6005.0,4104.0,446.02,361.2,200,192.64,122.97
19433.0,2024-12-01T13:55:12.826Z,"""1""",1.0,5422.0,3970.0,446.02,361.2,200,120.4,88.35
19069.0,2024-12-01T13:55:54.424Z,"""1""",1.0,5441.0,3686.0,361.2,223.58,200,126.59,120.4
19069.0,2024-12-01T13:58:04.835Z,"""2""",2.0,10797.0,4416.0,474.71,349.5,281.25,234.76,208.25
19069.0,2024-12-01T13:58:47.011Z,"""1""",1.0,3918.0,3016.0,271.07,200.0,89.43,89.43,79.46
16738.0,2024-12-01T13:59:31.944Z,"""1""",1.0,5088.0,3249.0,800.0,400.0,138.84,79.46,68
16738.0,2024-12-01T14:00:20.791Z,"""1""",1.0,4817.0,3455.0,403.36,300.0,138.84,135.54,67.08
